model,test_MSE,test_R2
linear,10027.065903980902,0.6962133672455694
poly_deg_2_no_inter,10004.1260315041,0.6969083688225288
poly_deg_3_no_inter,9816.749264315224,0.702585259520746
poly_deg_4_no_inter,9806.02163554319,0.7029102708703576
quadratic_with_interactions,9781.714086891643,0.7036467084709557
